iter	Passed	Remaining
386	931	1475
387	935	1475
388	936	1470
389	937	1466
390	939	1463
391	940	1459
392	944	1459
393	947	1457
394	949	1454
395	951	1450
396	952	1446
397	956	1447
398	959	1445
399	961	1441
400	962	1437
401	964	1434
402	965	1430
403	971	1433
404	973	1430
405	975	1427
406	977	1423
407	980	1422
408	987	1426
409	988	1422
410	990	1419
411	992	1416
412	994	1412
413	998	1413
414	1000	1410
415	1003	1408
416	1005	1405
417	1016	1415
418	1018	1412
419	1020	1409
420	1023	1407
421	1024	1403
422	1026	1400
423	1028	1396
424	1031	1395
425	1033	1392
426	1035	1389
427	1036	1385
428	1038	1382
429	1044	1384
430	1046	1380
431	1047	1377
432	1049	1373
433	1051	1371
434	1054	1369
435	1055	1365
436	1056	1360
437	1057	1356
438	1058	1352
439	1060	1350
440	1064	1349
441	1065	1345
442	1067	1341
443	1068	1338
444	1069	1334
445	1071	1330
446	1075	1330
447	1077	1327
448	1078	1323
449	1079	1319
450	1081	1315
451	1082	1311
452	1083	1308
453	1085	1305
454	1086	1301
455	1088	1298
456	1089	1294
457	1090	1290
458	1091	1287
459	1099	1290
460	1100	1287
461	1102	1283
462	1103	1279
463	1104	1276
464	1109	1276
465	1111	1274
466	1114	1271
467	1115	1267
468	1116	1264
469	1118	1261
470	1120	1258
471	1123	1256
472	1125	1254
473	1127	1251
474	1128	1247
475	1130	1244
476	1131	1240
477	1134	1239
478	1137	1237
479	1139	1234
480	1140	1230
481	1142	1227
482	1143	1224
483	1146	1222
484	1150	1221
485	1151	1218
486	1153	1215
487	1155	1211
488	1156	1208
489	1159	1207
490	1161	1204
491	1164	1201
492	1165	1198
493	1166	1195
494	1168	1191
495	1169	1188
496	1173	1187
497	1176	1185
498	1178	1183
499	1179	1179
500	1180	1175
501	1181	1172
502	1182	1168
503	1185	1166
504	1188	1165
505	1190	1161
506	1191	1158
507	1192	1155
508	1193	1151
509	1195	1148
510	1198	1146
511	1200	1144
512	1201	1140
513	1203	1137
514	1204	1134
515	1205	1130
516	1206	1127
517	1210	1125
518	1212	1123
519	1214	1120
520	1215	1117
521	1216	1114
522	1217	1110
523	1219	1107
524	1221	1105
525	1263	1138
526	1264	1134
527	1266	1132
528	1268	1129
529	1271	1127
530	1273	1124
531	1284	1129
532	1285	1126
533	1287	1123
534	1290	1122
535	1294	1120
536	1296	1118
537	1297	1114
538	1299	1111
539	1300	1107
540	1301	1104
541	1303	1101
542	1307	1100
543	1309	1097
544	1310	1094
545	1311	1090
546	1312	1087
547	1314	1083
548	1315	1080
549	1319	1079
550	1322	1077
551	1324	1074
552	1325	1071
553	1326	1068
554	1332	1068
555	1334	1065
556	1336	1062
557	1337	1059
558	1338	1056
559	1339	1052
560	1341	1049
561	1345	1048
562	1347	1045
563	1348	1042
564	1350	1039
565	1351	1036
566	1353	1033
567	1355	1031
568	1358	1028
569	1359	1025
570	1360	1022
571	1362	1019
572	1363	1016
573	1365	1013
574	1369	1012
575	1371	1009
576	1372	1006
577	1373	1002
578	1374	999
579	1376	996
580	1378	994
581	1381	992
582	1383	989
583	1384	986
584	1385	983
585	1387	979
586	1390	978
587	1392	975
588	1395	973
589	1396	970
590	1398	967
591	1404	967
592	1406	965
593	1407	962
594	1409	959
595	1410	956
596	1411	952
597	1412	949
598	1414	947
599	1426	951
600	1429	949
601	1433	947
602	1435	945
603	1436	941
604	1438	939
605	1439	935
606	1441	933
607	1447	933
608	1448	930
609	1450	927
610	1451	924
611	1453	921
612	1455	918
613	1458	917
614	1460	914
615	1464	912
616	1465	909
617	1467	906
618	1470	905
619	1472	902
620	1474	899
621	1476	897
622	1477	894
623	1478	891
624	1482	889
625	1484	887
626	1486	884
627	1488	881
628	1490	878
629	1492	876
630	1495	874
631	1497	872
632	1499	869
633	1500	866
634	1502	863
635	1503	860
636	1506	858
637	1509	856
638	1511	853
639	1512	850
640	1513	847
641	1515	844
642	1516	842
643	1518	839
644	1520	837
645	1523	834
646	1524	832
647	1526	829
648	1527	826
649	1529	823
650	1532	821
651	1535	819
652	1536	816
653	1538	813
654	1539	810
655	1540	807
656	1542	805
657	1547	804
658	1548	801
659	1549	798
660	1551	795
661	1552	792
662	1553	789
663	1556	787
664	1561	786
665	1563	783
666	1564	781
667	1565	778
668	1567	775
669	1569	773
670	1572	771
671	1574	768
672	1575	765
673	1576	762
674	1578	759
675	1579	757
676	1581	754
677	1584	752
678	1585	749
679	1586	746
680	1588	743
681	1589	741
682	1590	738
683	1593	736
684	1596	734
685	1597	731
686	1599	728
687	1600	725
688	1601	722
689	1603	720
690	1606	718
691	1608	715
692	1609	713
693	1610	710
694	1612	707
695	1613	704
696	1617	703
697	1620	701
698	1621	698
699	1623	695
700	1624	692
701	1625	690
702	1627	687
703	1630	685
704	1632	683
705	1633	680
706	1635	677
707	1636	674
708	1637	672
709	1638	669
710	1641	667
711	1644	665
712	1646	662
713	1648	660
714	1649	657
715	1651	654
716	1652	652
717	1654	649
718	1657	647
719	1658	645
720	1661	643
721	1665	641
722	1667	638
723	1668	636
724	1669	633
725	1671	630
726	1677	629
727	1679	627
728	1680	624
729	1682	622
730	1683	619
731	1684	616
732	1686	614
733	1690	612
734	1692	610
735	1693	607
736	1695	604
737	1696	602
738	1697	599
739	1699	597
740	1702	594
741	1703	592
742	1705	589
743	1706	587
744	1708	584
745	1710	582
746	1712	580
747	1715	577
748	1716	575
749	1717	572
750	1718	569
751	1720	567
752	1721	564
753	1725	563
754	1728	560
755	1729	558
756	1731	555
757	1732	553
758	1733	550
759	1734	547
760	1738	546
761	1742	544
762	1743	541
763	1744	538
764	1746	536
765	1747	533
766	1751	532
767	1754	530
768	1756	527
769	1757	524
770	1758	522
771	1759	519
772	1765	518
773	1768	516
774	1769	513
775	1770	511
776	1772	508
777	1773	506
778	1779	504
779	1780	502
780	1781	499
781	1782	497
782	1784	494
783	1785	491
784	1787	489
785	1792	487
786	1793	485
787	1795	482
788	1796	480
789	1799	478
790	1802	476
791	1804	473
792	1805	471
793	1807	468
794	1808	466
795	1810	463
796	1814	462
797	1816	459
798	1817	457
799	1818	454
800	1820	452
801	1822	449
802	1826	448
803	1828	445
804	1830	443
805	1832	440
806	1833	438
807	1837	436
808	1839	434
809	1840	431
810	1842	429
811	1843	426
812	1845	424
813	1850	422
814	1853	420
815	1854	418
816	1857	415
817	1858	413
818	1859	411
819	1863	409
820	1865	406
821	1866	404
822	1868	401
823	1869	399
824	1870	396
825	1875	394
826	1877	392
827	1878	390
828	1880	387
829	1881	385
830	1883	382
831	1884	380
832	1888	378
833	1890	376
834	1892	373
835	1893	371
836	1895	369
837	1897	366
838	1900	364
839	1903	362
840	1904	360
841	1906	357
842	1907	355
843	1908	352
844	1911	350
845	1913	348
846	1914	345
847	1916	343
848	1917	340
849	1918	338
850	1919	336
851	1926	334
852	1929	332
853	1931	330
854	1932	327
855	1934	325
856	1937	323
857	1938	320
858	1940	318
859	1947	316
860	1949	314
861	1952	312
862	1957	310
863	1959	308
864	1960	306
865	1964	304
866	1968	301
867	1970	299
868	1972	297
869	1975	295
870	1979	293
871	1980	290
872	1983	288
873	1986	286
874	1987	283
875	1989	281
876	2006	281
877	2007	278
878	2009	276
879	2011	274
880	2023	273
881	2025	270
882	2026	268
883	2033	266
884	2036	264
885	2037	262
886	2039	259
887	2041	257
888	2043	255
889	2045	252
890	2049	250
891	2051	248
892	2053	246
893	2055	243
894	2062	241
895	2063	239
896	2065	237
897	2066	234
898	2068	232
899	2071	230
900	2073	227
901	2076	225
902	2079	223
903	2087	221
904	2089	219
905	2096	217
906	2099	215
907	2100	212
908	2102	210
909	2103	208
910	2104	205
911	2108	203
912	2111	201
913	2112	198
914	2114	196
915	2115	194
916	2117	191
917	2119	189
918	2122	187
919	2123	184
920	2125	182
921	2128	180
922	2130	177
923	2133	175
924	2136	173
925	2138	170
926	2142	168
927	2144	166
928	2146	164
929	2147	161
930	2149	159
931	2151	156
932	2154	154
933	2156	152
934	2157	149
935	2158	147
936	2160	145
937	2162	142
938	2166	140
939	2167	138
940	2169	136
941	2171	133
942	2172	131
943	2177	129
944	2179	126
945	2181	124
946	2182	122
947	2184	119
948	2186	117
949	2197	115
950	2198	113
951	2225	112
952	2227	109
953	2228	107
954	2230	105
955	2231	102
956	2233	100
957	2234	97
958	2237	95
959	2238	93
960	2240	90
961	2241	88
962	2243	86
963	2250	84
964	2251	81
965	2252	79
966	2253	76
967	2260	74
968	2262	72
969	2264	70
970	2265	67
971	2266	65
972	2269	62
973	2272	60
974	2273	58
975	2274	55
976	2275	53
977	2276	51
978	2277	48
979	2279	46
980	2282	44
981	2284	41
982	2286	39
983	2293	37
984	2298	35
985	2300	32
986	2301	30
987	2302	27
988	2304	25
989	2310	23
990	2311	20
991	2313	18
992	2314	16
993	2315	13
994	2317	11
995	2320	9
996	2323	6
997	2325	4
998	2326	2
999	2328	0
